newtitle,newspapername,datetime
미투 의혹 넘긴 오거돈 결국 여직원 성추행으로 자진 하차,연합뉴스,2020-04-23
'지자체장 또 성추행 쇼크' 오거돈 부산시장 자진사퇴(종합2보),연합뉴스,2020-04-23
프랑스 영부인도 주목한 정은경..김정숙 여사 통화에서 "활약 인상적",뉴스1,2020-04-23
[현장영상] 오거돈 울먹이며 "오늘자로 부산시장직 사퇴",YTN,2020-04-23
오거돈 사퇴로 공석된 부산시장 보궐선거는 내년 4월 7일,연합뉴스,2020-04-23
미투 의혹 넘긴 오거돈 결국 여직원 성추행으로 자진 하차,연합뉴스,2020-04-23
'지자체장 또 성추행 쇼크' 오거돈 부산시장 자진사퇴(종합2보),연합뉴스,2020-04-23
프랑스 영부인도 주목한 정은경..김정숙 여사 통화에서 "활약 인상적",뉴스1,2020-04-23
[현장영상] 오거돈 울먹이며 "오늘자로 부산시장직 사퇴",YTN,2020-04-23
오거돈 사퇴로 공석된 부산시장 보궐선거는 내년 4월 7일,연합뉴스,2020-04-23
미투 의혹 넘긴 오거돈 결국 여직원 성추행으로 자진 하차,연합뉴스,2020-04-23 13:56
'지자체장 또 성추행 쇼크' 오거돈 부산시장 자진사퇴(종합2보),연합뉴스,2020-04-23 13:56
프랑스 영부인도 주목한 정은경..김정숙 여사 통화에서 "활약 인상적",뉴스1,2020-04-23 13:56
오거돈 사퇴로 공석된 부산시장 보궐선거는 내년 4월 7일,연합뉴스,2020-04-23 13:56
[현장영상] 오거돈 울먹이며 "오늘자로 부산시장직 사퇴",YTN,2020-04-23 13:56
