"","comicName","comicsSummary","comicGrade"
"1","이상한사무실","디자인 회사 이야기","9.74"
"2","아빠는 N살","아빠 4컷 그림일기","9.91"
"3","오롯이 당신을 위한 식탁","아기주부 생존식탁툰","9.74"
"4","오늘도 그래고래","귀여움으로 승부한다","9.91"
"5","도와줘요 사신님!","인간 되기 싫어요","9.43"
"6","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.85"
"7","급식이조아","리얼 급식 성장기","8.88"
"8","EQ","미스터리 공감로맨스","9.74"
"9","런어웨이","초능력 소녀,그의 소유물이 되다","9.85"
"10","솔로의 연애","연애할 수 있을까~","9.91"
"11","하아의 하루","강아지 일상툰!","9.89"
"12","카나와 초나의 독일","독일 생존기","9.90"
"13","오늘 하루도 말랑멜랑","웃픈 우울증 이야기","9.91"
"14","게임에 접속했습니다!","게임하는 고딩들","9.90"
"15","아버지 이야기","이야기들 개그/일상","9.82"
"16","나는 마요 집사로소이다","쉽지 않은 집사생활","9.93"
"17","CMYK","의식의 흐름 만화","9.16"
"18","이웃집 유부녀","일상툰","9.91"
"19","지극히 평범한 생활","말만 평범한 일상툰","9.91"
"20","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.81"
"21","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.76"
"22","노바","코지 미스테리 로판","9.90"
"23","치즈범벅","치즈고양이형제 일상","9.84"
"24","괜찮아, 고3이야","너와나의 리얼고3툰","9.91"
